generation,stage,best_fitness,mean_fitness,max_links,mean_links
0,2.775,0.878,3,3.000
1,6.082,1.871,3,3.000
2,6.082,3.113,3,3.000
3,6.082,5.116,3,3.000
4,6.082,6.081,3,3.000
5,6.101,6.083,3,3.000
6,6.101,6.085,3,3.000
7,6.101,5.840,3,3.000
8,6.101,5.597,3,3.000
9,6.133,6.103,3,3.000
10,6.133,6.103,3,3.000
11,6.133,6.115,3,3.000
12,6.147,5.875,3,3.000
13,6.151,5.883,3,3.000
14,6.151,6.141,3,3.000
15,6.154,5.894,3,3.000
16,6.154,5.403,3,3.000
17,6.154,5.898,3,3.000
18,6.154,5.651,3,3.000
19,6.154,5.893,3,3.000
20,6.154,6.154,3,3.000
21,6.154,6.154,3,3.000
22,6.154,5.902,3,3.000
23,6.154,5.651,3,3.000
24,6.154,5.897,3,3.000
25,6.154,6.149,3,3.000
26,6.154,6.152,3,3.000
27,6.154,5.907,3,3.000
28,6.154,5.900,3,3.000
29,6.154,6.152,3,3.000
30,6.154,5.901,3,3.000
31,6.154,5.896,3,3.000
32,6.154,5.897,3,3.000
33,6.157,5.897,3,3.000
34,6.157,6.152,3,3.000
35,6.157,5.894,3,3.000
36,6.157,6.153,3,3.000
37,6.157,5.658,3,3.000
38,6.157,6.151,3,3.000
39,6.157,5.900,3,3.000
40,6.157,5.898,3,3.000
41,6.157,6.156,3,3.000
42,6.157,6.154,3,3.000
43,6.157,6.156,3,3.000
44,6.157,6.157,3,3.000
45,6.157,6.156,3,3.000
46,6.157,5.647,3,3.000
47,6.157,6.148,3,3.000
48,6.157,6.147,3,3.000
49,6.157,5.657,3,3.000
50,6.157,5.894,3,3.000
51,6.157,6.157,3,3.000
52,6.157,5.899,3,3.000
53,6.157,6.157,3,3.000
54,6.157,5.909,3,3.000
55,6.157,6.149,3,3.000
56,6.157,5.650,3,3.000
57,6.157,6.150,3,3.000
58,6.157,6.156,3,3.000
59,6.157,5.903,3,3.000
60,6.157,5.898,3,3.000
61,6.157,6.153,3,3.000
62,6.157,6.152,3,3.000
63,6.157,6.151,3,3.000
64,6.157,5.897,3,3.000
65,6.157,5.900,3,3.000
66,6.157,5.649,3,3.000
67,6.157,5.897,3,3.000
68,6.157,6.152,3,3.000
69,6.157,6.153,3,3.000
70,6.157,5.901,3,3.000
71,6.157,6.150,3,3.000
72,6.157,5.908,3,3.000
73,6.157,5.656,3,3.000
74,6.157,6.155,3,3.000
75,6.157,6.153,3,3.000
76,6.157,5.900,3,3.000
77,6.157,6.157,3,3.000
78,6.157,5.895,3,3.000
79,6.157,5.647,3,3.000
80,6.157,6.157,3,3.000
81,6.157,6.155,3,3.000
82,6.157,6.157,3,3.000
83,6.157,5.904,3,3.000
84,6.157,5.902,3,3.000
85,6.157,5.657,3,3.000
86,6.157,6.150,3,3.000
87,6.157,5.902,3,3.000
88,6.157,5.647,3,3.000
89,6.157,5.397,3,3.000
90,6.157,6.152,3,3.000
91,6.157,6.157,3,3.000
92,6.157,5.903,3,3.000
93,6.157,6.157,3,3.000
94,6.157,6.157,3,3.000
95,6.157,5.647,3,3.000
96,6.157,6.157,3,3.000
97,6.157,6.151,3,3.000
98,6.157,5.901,3,3.000
99,6.157,6.155,3,3.000
