generation,stage,best_fitness,mean_fitness,max_links,mean_links
0,walking,1.413,0.845,3,3.000
1,walking,1.413,0.844,4,3.033
2,walking,1.413,0.912,4,2.967
3,walking,3.201,1.057,4,2.867
4,walking,3.201,1.184,4,2.733
5,walking,3.201,1.480,4,2.433
6,walking,3.201,1.421,3,2.333
7,walking,3.201,1.844,4,2.233
8,walking,3.201,2.119,3,2.100
9,walking,3.201,2.109,4,2.233
10,walking,3.201,2.435,3,2.000
11,walking,3.201,2.747,4,2.067
12,walking,3.201,2.747,4,2.167
13,walking,3.201,2.496,3,2.100
14,walking,3.201,2.795,3,2.033
15,walking,3.201,2.717,3,2.000
16,walking,3.201,2.731,3,1.933
17,walking,3.201,2.681,3,2.133
18,walking,3.239,2.471,3,2.100
19,walking,3.239,2.598,3,2.067
20,walking,3.239,2.673,3,2.033
21,walking,3.239,2.898,3,2.000
22,walking,3.239,2.514,3,2.133
23,walking,3.239,2.658,3,2.067
24,walking,3.239,2.546,3,1.967
25,walking,3.239,2.828,3,2.133
26,walking,3.239,2.821,3,2.100
27,walking,3.239,2.896,3,1.933
28,walking,3.239,2.717,3,1.933
29,walking,3.239,2.817,3,2.033
30,walking,3.239,2.196,3,2.000
31,walking,3.239,2.184,3,1.967
32,walking,3.239,2.330,3,2.000
33,walking,3.239,2.424,3,2.167
34,walking,3.250,2.808,3,2.067
35,walking,3.250,2.533,3,2.167
36,walking,3.274,3.016,3,2.067
37,walking,3.274,3.137,2,2.000
38,walking,3.274,2.965,3,2.067
39,walking,3.274,2.580,3,2.100
40,walking,3.274,2.679,3,2.100
41,walking,3.274,2.347,4,2.233
42,walking,3.274,2.612,4,2.000
43,walking,3.274,2.847,3,1.967
44,walking,3.274,2.767,3,2.100
45,walking,3.307,2.726,3,2.033
46,walking,3.307,2.722,3,2.067
47,walking,3.307,2.476,4,2.200
48,walking,3.307,2.778,3,2.000
49,walking,3.307,2.684,3,2.000
50,walking,3.307,2.411,3,2.100
51,walking,3.307,2.091,3,2.267
52,walking,3.307,2.185,3,2.167
53,walking,3.307,2.510,3,2.067
54,walking,3.307,2.699,3,2.033
55,walking,3.307,2.647,3,2.000
56,walking,3.307,2.537,3,2.000
57,walking,3.307,2.704,3,2.133
58,walking,3.307,2.788,3,2.100
59,walking,3.307,2.301,3,2.067
60,walking,3.307,2.322,4,2.200
61,walking,3.307,3.033,3,2.033
62,walking,3.307,2.507,3,2.167
63,walking,3.307,2.167,3,2.267
64,walking,3.307,2.708,3,2.100
65,walking,3.307,2.501,3,2.200
66,walking,3.307,2.527,3,2.000
67,walking,3.343,2.762,3,2.067
68,walking,3.343,2.639,3,2.067
69,walking,3.343,2.531,3,2.167
70,walking,3.343,3.073,3,2.067
71,walking,3.343,2.821,3,2.000
72,walking,3.343,2.919,3,2.000
73,walking,3.343,3.059,3,2.067
74,walking,3.343,2.837,3,2.000
75,walking,3.343,2.329,3,2.167
