generation,stage,best_fitness,mean_fitness,max_links,mean_links
76,walking,3.343,2.772,3,2.167
77,walking,3.343,2.679,3,2.100
78,walking,3.343,2.391,3,2.167
79,walking,3.343,2.545,3,2.100
80,walking,3.343,3.077,3,2.067
81,walking,3.343,2.902,3,2.133
82,walking,3.343,2.740,3,2.033
83,walking,3.343,2.526,3,2.133
84,walking,3.343,2.856,4,2.067
85,walking,3.343,2.667,3,2.033
86,walking,3.343,2.792,3,2.067
87,walking,3.343,2.742,3,1.967
88,walking,3.343,2.819,3,2.000
89,walking,3.343,2.925,3,1.967
90,walking,3.343,2.909,3,1.967
91,walking,3.343,2.971,3,2.067
92,walking,3.343,2.553,4,1.933
93,walking,3.343,2.556,4,2.133
94,walking,3.343,2.669,3,2.067
95,walking,3.343,2.930,4,2.100
96,walking,3.343,2.947,3,2.000
97,walking,3.343,3.061,3,2.067
98,walking,3.343,2.443,3,2.067
99,walking,3.343,2.892,3,2.000
100,climbing,0.102,0.097,3,1.967
101,climbing,0.107,0.099,3,2.100
102,climbing,0.107,0.100,4,2.267
103,climbing,0.108,0.100,4,2.333
104,climbing,0.108,0.100,5,2.400
105,climbing,0.113,0.101,4,2.233
106,climbing,0.113,0.103,4,2.200
107,climbing,0.113,0.103,5,2.433
108,climbing,0.113,0.103,5,2.533
109,climbing,0.113,0.104,3,2.367
110,climbing,0.113,0.104,4,2.367
111,climbing,0.113,0.104,4,2.400
112,climbing,0.113,0.105,4,2.400
113,climbing,0.114,0.108,4,2.367
114,climbing,0.114,0.106,4,2.400
115,climbing,0.116,0.107,4,2.367
116,climbing,0.116,0.104,4,2.600
117,climbing,0.116,0.104,5,2.533
118,climbing,0.116,0.104,5,2.433
119,climbing,0.116,0.105,5,2.600
120,climbing,0.116,0.104,4,2.333
121,climbing,0.116,0.105,4,2.167
122,climbing,0.116,0.105,4,2.267
123,climbing,0.116,0.106,4,2.100
124,climbing,0.116,0.106,4,2.300
125,climbing,0.116,0.107,4,2.600
126,climbing,0.116,0.108,4,2.733
127,climbing,0.118,0.108,5,2.733
128,climbing,0.118,0.107,5,2.833
129,climbing,0.118,0.108,5,2.633
130,climbing,0.118,0.109,5,2.433
131,climbing,0.118,0.110,5,2.733
132,climbing,0.118,0.109,6,2.933
133,climbing,0.120,0.108,7,2.900
134,climbing,0.121,0.109,7,3.433
135,climbing,0.121,0.107,8,3.167
136,climbing,0.121,0.107,7,3.367
137,climbing,0.121,0.106,7,3.067
138,climbing,0.122,0.108,7,3.300
139,climbing,0.124,0.107,7,3.433
140,climbing,0.124,0.110,7,3.700
141,climbing,0.124,0.110,8,4.233
142,climbing,0.124,0.113,8,4.700
143,climbing,0.124,0.110,8,4.333
144,climbing,0.124,0.111,8,4.533
145,climbing,0.124,0.112,8,5.133
146,climbing,0.124,0.108,8,4.600
147,climbing,0.124,0.110,8,5.433
148,climbing,0.124,0.108,8,5.000
149,climbing,0.124,0.106,8,5.000
150,climbing,0.125,0.107,8,5.633
151,climbing,0.125,0.107,8,5.733
152,climbing,0.125,0.107,9,6.267
153,climbing,0.125,0.106,9,6.000
154,climbing,0.125,0.107,9,5.967
155,climbing,0.125,0.109,9,5.867
156,climbing,0.125,0.110,9,6.300
157,climbing,0.125,0.110,9,5.200
158,climbing,0.126,0.109,10,5.867
159,climbing,0.126,0.110,10,6.133
160,climbing,0.126,0.110,10,6.033
161,climbing,0.126,0.108,10,6.333
162,climbing,0.127,0.108,11,6.633
163,climbing,0.129,0.111,11,7.133
164,climbing,0.129,0.110,11,7.000
165,climbing,0.129,0.109,12,6.067
166,climbing,0.129,0.108,11,5.833
167,climbing,0.130,0.111,12,6.900
168,climbing,0.130,0.111,13,6.500
169,climbing,0.130,0.109,13,5.767
170,climbing,0.133,0.107,13,5.300
171,climbing,0.133,0.107,12,5.000
172,climbing,0.133,0.111,12,5.133
173,climbing,0.133,0.110,12,5.567
174,climbing,0.133,0.109,12,5.767
175,climbing,0.133,0.110,12,5.867
176,climbing,0.133,0.106,12,4.900
177,climbing,0.133,0.106,12,4.567
178,climbing,0.133,0.109,12,6.000
179,climbing,0.133,0.105,13,5.100
180,climbing,0.133,0.103,14,6.000
181,climbing,0.133,0.106,14,4.100
182,climbing,0.133,0.102,14,4.867
183,climbing,0.138,0.106,14,4.900
184,climbing,0.138,0.108,14,5.300
185,climbing,0.138,0.109,14,5.267
186,climbing,0.138,0.108,15,6.100
187,climbing,0.138,0.113,16,8.233
188,climbing,0.138,0.117,15,7.967
189,climbing,0.138,0.118,15,7.933
190,climbing,0.138,0.117,15,7.567
191,climbing,0.139,0.116,14,6.867
192,climbing,0.139,0.116,14,7.200
193,climbing,0.139,0.111,14,5.367
194,climbing,0.139,0.112,14,5.067
195,climbing,0.139,0.110,13,4.000
196,climbing,0.139,0.113,13,4.867
197,climbing,0.139,0.111,13,4.867
198,climbing,0.139,0.109,14,4.233
199,climbing,0.139,0.109,15,4.633
