generation,stage,best_fitness,mean_fitness,max_links,mean_links
0,walking,1.193,0.665,3,3.000
1,walking,1.193,0.863,4,3.000
2,walking,1.794,0.975,3,2.933
3,walking,1.794,1.031,3,3.000
4,walking,1.812,1.128,3,3.000
5,walking,1.812,1.402,4,3.033
6,walking,1.812,1.690,3,2.967
7,walking,1.812,1.766,3,3.000
8,walking,1.839,1.771,4,3.033
9,walking,1.839,1.720,4,3.000
10,walking,1.839,1.803,3,3.000
11,walking,1.840,1.765,3,3.000
12,walking,1.840,1.774,3,2.967
13,walking,1.842,1.840,3,3.000
14,walking,1.842,1.740,4,3.000
15,walking,1.854,1.841,3,3.000
16,walking,1.854,1.770,3,2.933
17,walking,1.854,1.736,4,2.967
18,walking,1.854,1.847,3,3.000
19,walking,1.854,1.709,4,3.000
20,walking,1.854,1.826,3,3.000
21,walking,1.854,1.825,3,3.000
22,walking,1.854,1.854,3,3.000
23,walking,1.854,1.738,3,2.967
24,walking,1.854,1.674,3,2.933
25,walking,1.854,1.732,3,2.933
26,walking,1.854,1.854,3,3.000
27,walking,1.854,1.783,4,3.033
28,walking,1.854,1.794,4,3.033
29,walking,1.854,1.790,3,2.967
30,walking,1.854,1.726,3,2.933
31,walking,1.854,1.708,4,2.967
32,walking,1.854,1.825,3,3.000
33,walking,1.854,1.747,3,2.967
34,walking,1.854,1.704,4,2.967
35,walking,1.854,1.828,3,3.000
36,walking,1.854,1.762,4,3.067
37,walking,1.854,1.742,4,3.067
38,walking,1.854,1.668,4,2.967
39,walking,1.854,1.829,3,3.000
40,walking,1.854,1.814,3,3.000
41,walking,1.854,1.802,3,2.933
42,walking,1.854,1.824,3,3.000
43,walking,1.854,1.789,3,2.967
44,walking,1.854,1.854,3,3.000
45,walking,1.854,1.802,4,3.033
46,walking,1.854,1.854,3,3.000
47,walking,1.854,1.745,4,3.033
48,walking,1.854,1.854,3,3.000
49,walking,1.857,1.844,4,3.033
50,climbing,0.119,0.119,3,3.000
51,climbing,0.119,0.118,4,3.033
52,climbing,0.119,0.118,3,3.000
53,climbing,0.119,0.118,4,3.000
54,climbing,0.119,0.119,3,3.000
55,climbing,0.119,0.117,4,3.033
56,climbing,0.119,0.118,3,3.000
57,climbing,0.119,0.119,3,3.000
58,climbing,0.119,0.118,3,2.967
59,climbing,0.119,0.119,3,3.000
60,climbing,0.119,0.119,3,3.000
61,climbing,0.119,0.118,4,3.033
62,climbing,0.119,0.118,4,3.000
63,climbing,0.119,0.119,3,2.967
64,climbing,0.119,0.119,3,3.000
65,climbing,0.119,0.119,3,3.000
66,climbing,0.119,0.117,3,3.000
67,climbing,0.119,0.116,4,3.000
68,climbing,0.119,0.119,3,3.000
69,climbing,0.119,0.118,3,2.967
70,climbing,0.119,0.118,3,2.967
71,climbing,0.119,0.119,3,2.967
72,climbing,0.121,0.119,4,3.033
73,climbing,0.121,0.120,4,3.033
74,climbing,0.121,0.119,4,3.233
75,climbing,0.121,0.120,4,3.467
76,climbing,0.121,0.120,4,3.800
77,climbing,0.121,0.120,4,3.900
78,climbing,0.121,0.121,5,4.033
79,climbing,0.121,0.120,4,3.967
80,climbing,0.121,0.121,4,4.000
81,climbing,0.121,0.121,5,4.000
82,climbing,0.121,0.119,5,3.967
83,climbing,0.121,0.121,4,4.000
84,climbing,0.121,0.121,4,3.967
85,climbing,0.121,0.121,4,4.000
86,climbing,0.121,0.121,4,3.967
87,climbing,0.121,0.121,5,4.000
88,climbing,0.121,0.121,5,4.033
89,climbing,0.121,0.121,5,4.033
90,climbing,0.121,0.121,4,4.000
91,climbing,0.121,0.121,5,4.000
92,climbing,0.121,0.121,4,4.000
93,climbing,0.121,0.121,5,4.033
94,climbing,0.121,0.121,4,4.000
95,climbing,0.121,0.121,4,4.000
96,climbing,0.121,0.121,5,4.033
97,climbing,0.121,0.120,5,4.033
98,climbing,0.121,0.121,4,4.000
99,climbing,0.121,0.121,5,4.033
