generation,stage,best_fitness,mean_fitness,max_links,mean_links
0,walking,2.033,0.877,3,3.000
1,walking,2.099,0.983,3,2.900
2,walking,2.099,1.116,4,2.900
3,walking,2.111,1.426,4,2.800
4,walking,2.111,1.459,4,3.150
5,walking,2.111,1.727,4,2.950
6,walking,2.111,1.699,4,2.950
7,walking,2.111,1.703,4,3.100
8,walking,2.111,1.545,4,3.200
9,walking,2.111,1.595,5,3.300
10,walking,2.118,1.588,4,3.300
11,walking,2.118,1.776,4,3.200
12,walking,2.143,1.890,4,3.350
13,walking,2.143,1.720,4,3.300
14,walking,2.143,1.771,4,3.250
15,walking,2.164,1.717,5,3.100
16,walking,2.164,1.944,4,3.050
17,walking,2.164,2.008,4,3.100
18,walking,2.164,1.858,4,3.100
19,walking,2.164,1.813,4,3.050
20,walking,2.228,1.784,4,2.950
21,walking,2.228,1.827,4,2.800
22,walking,2.228,1.840,4,2.850
23,walking,2.228,1.982,4,2.700
24,walking,2.232,1.880,4,2.700
25,walking,2.232,1.869,4,2.800
26,walking,2.232,1.841,4,2.800
27,walking,2.232,1.905,4,2.850
28,walking,2.232,1.777,4,2.950
29,walking,2.232,1.800,5,3.000
30,walking,2.232,1.853,4,2.850
31,walking,2.235,1.774,4,2.800
32,walking,2.235,1.745,4,2.600
33,walking,2.235,1.726,4,2.750
34,walking,2.235,1.532,5,2.700
35,walking,2.235,1.744,5,2.700
36,walking,2.235,1.640,4,2.900
37,walking,2.235,1.687,4,3.000
38,walking,2.235,1.878,4,2.950
39,walking,2.235,1.948,4,2.950
40,walking,2.282,2.107,4,3.100
41,walking,2.282,2.019,4,3.100
42,walking,2.282,1.984,4,3.350
43,walking,2.282,2.022,5,3.300
44,walking,2.282,2.137,5,3.200
45,walking,2.282,1.927,4,3.200
46,walking,2.282,2.065,4,3.100
47,walking,2.282,1.951,4,3.150
48,walking,2.282,2.005,4,3.100
49,walking,2.282,2.154,3,3.000
50,climbing,0.114,0.108,4,3.000
51,climbing,0.114,0.110,4,3.050
52,climbing,0.114,0.110,4,3.000
53,climbing,0.115,0.109,4,2.850
54,climbing,0.120,0.111,4,2.800
55,climbing,0.120,0.111,4,3.050
56,climbing,0.120,0.110,5,3.200
57,climbing,0.120,0.108,5,3.150
58,climbing,0.122,0.108,5,3.200
59,climbing,0.122,0.108,5,3.250
60,climbing,0.122,0.108,5,3.250
61,climbing,0.122,0.109,5,3.550
62,climbing,0.122,0.111,5,3.350
63,climbing,0.122,0.107,6,3.100
64,climbing,0.122,0.108,5,2.850
65,climbing,0.123,0.113,5,2.800
66,climbing,0.123,0.111,5,2.900
67,climbing,0.123,0.111,5,3.050
68,climbing,0.123,0.109,5,2.600
69,climbing,0.123,0.110,4,2.350
70,climbing,0.123,0.111,4,2.600
71,climbing,0.123,0.108,5,2.650
72,climbing,0.123,0.108,5,2.450
73,climbing,0.123,0.108,4,2.400
74,climbing,0.123,0.108,4,2.350
75,climbing,0.123,0.107,4,2.400
76,climbing,0.123,0.108,4,2.600
77,climbing,0.123,0.107,4,2.650
78,climbing,0.123,0.108,4,2.550
79,climbing,0.123,0.109,4,2.700
80,climbing,0.123,0.107,5,3.000
81,climbing,0.123,0.108,5,3.150
82,climbing,0.123,0.109,5,3.150
83,climbing,0.123,0.108,4,3.200
84,climbing,0.123,0.108,5,3.400
85,climbing,0.123,0.107,5,3.250
86,climbing,0.123,0.106,5,3.250
87,climbing,0.123,0.107,4,3.300
88,climbing,0.123,0.105,4,3.100
89,climbing,0.123,0.111,4,3.200
90,climbing,0.123,0.108,5,3.250
91,climbing,0.123,0.109,5,3.350
92,climbing,0.123,0.108,4,2.950
93,climbing,0.123,0.109,5,3.200
94,climbing,0.123,0.111,5,3.550
95,climbing,0.123,0.109,5,3.650
96,climbing,0.123,0.106,5,3.600
97,climbing,0.123,0.110,5,3.550
98,climbing,0.123,0.113,5,3.600
99,climbing,0.123,0.117,5,3.900
