generation,stage,best_fitness,mean_fitness,max_links,mean_links
0,walking,1.457,0.881,3,3.000
1,walking,1.520,1.125,4,2.950
2,walking,1.537,1.249,4,3.000
3,walking,1.537,1.294,4,3.000
4,walking,1.847,1.463,4,3.100
5,walking,1.847,1.550,3,2.700
6,walking,1.847,1.589,3,2.150
7,walking,1.847,1.645,3,2.100
8,walking,1.859,1.715,2,1.900
9,walking,1.859,1.711,3,1.900
10,walking,1.917,1.632,2,1.800
11,walking,1.917,1.677,2,1.800
12,walking,1.917,1.735,2,1.750
13,walking,1.962,1.687,2,1.750
14,walking,1.962,1.657,3,1.750
15,walking,1.980,1.727,2,1.800
16,walking,2.004,1.945,2,2.000
17,walking,2.004,1.910,2,1.950
18,walking,2.004,1.682,3,1.850
19,walking,2.004,1.695,2,1.800
20,walking,2.039,1.907,3,1.950
21,walking,2.045,1.695,3,1.850
22,walking,2.045,1.814,2,1.800
23,walking,2.053,1.988,2,1.950
24,walking,2.053,1.899,2,1.850
25,walking,2.053,1.835,3,1.950
26,walking,2.057,1.923,2,1.900
27,walking,2.057,1.905,2,1.900
28,walking,2.057,1.906,2,1.900
29,walking,2.186,1.985,3,1.950
30,walking,2.186,1.991,3,2.150
31,walking,2.237,1.893,3,2.200
32,walking,2.262,2.008,4,2.700
33,walking,2.280,1.887,3,2.650
34,walking,2.280,2.022,3,2.700
35,walking,2.280,1.892,3,2.700
36,walking,2.285,2.117,3,2.850
37,walking,2.285,2.076,3,2.850
38,walking,2.296,2.035,3,2.800
39,walking,2.317,2.162,3,2.900
40,walking,2.317,2.104,3,2.850
41,walking,2.376,2.181,3,2.900
42,walking,2.376,2.061,3,2.800
43,walking,2.436,1.954,3,2.700
44,walking,2.447,2.160,3,2.850
45,walking,2.457,2.176,3,2.850
46,walking,2.463,2.125,4,2.900
47,walking,2.563,2.152,4,2.850
48,walking,2.568,2.224,4,3.050
49,walking,2.568,2.072,4,3.050
50,climbing,0.117,0.104,5,3.400
51,climbing,0.117,0.107,5,3.900
52,climbing,0.117,0.109,6,4.100
53,climbing,0.117,0.110,6,4.200
54,climbing,0.117,0.113,5,4.550
55,climbing,0.118,0.117,5,4.900
56,climbing,0.120,0.114,6,4.700
57,climbing,0.120,0.114,6,4.700
58,climbing,0.127,0.117,5,4.200
59,climbing,0.127,0.116,5,3.950
60,climbing,0.127,0.121,5,4.000
61,climbing,0.128,0.120,4,3.850
62,climbing,0.128,0.124,4,3.900
63,climbing,0.128,0.119,5,4.000
64,climbing,0.129,0.124,4,3.900
65,climbing,0.130,0.125,5,3.950
66,climbing,0.130,0.126,4,3.950
67,climbing,0.130,0.123,4,3.800
68,climbing,0.131,0.124,4,3.800
69,climbing,0.131,0.124,4,3.850
70,climbing,0.131,0.120,4,3.700
71,climbing,0.131,0.124,5,3.900
72,climbing,0.131,0.126,5,3.900
73,climbing,0.131,0.125,4,3.800
74,climbing,0.131,0.130,4,4.000
75,climbing,0.131,0.124,5,3.950
76,climbing,0.131,0.128,4,3.900
77,climbing,0.131,0.128,5,4.000
78,climbing,0.131,0.126,5,4.000
79,climbing,0.131,0.127,4,3.900
80,climbing,0.131,0.126,5,3.950
81,climbing,0.131,0.126,4,3.850
82,climbing,0.131,0.126,4,3.750
83,climbing,0.131,0.125,5,3.800
84,climbing,0.131,0.126,5,4.000
85,climbing,0.131,0.122,4,3.700
86,climbing,0.131,0.125,4,3.900
87,climbing,0.131,0.124,5,3.900
88,climbing,0.131,0.127,4,3.850
89,climbing,0.131,0.125,5,3.900
90,climbing,0.131,0.127,4,3.950
91,climbing,0.131,0.127,4,3.800
92,climbing,0.131,0.120,4,3.700
93,climbing,0.131,0.124,4,3.750
94,climbing,0.131,0.126,4,3.900
95,climbing,0.131,0.128,4,3.900
96,climbing,0.131,0.125,5,3.950
97,climbing,0.132,0.128,4,3.900
98,climbing,0.132,0.127,4,3.950
99,climbing,0.132,0.127,5,3.900
