generation,stage,best_fitness,mean_fitness,max_links,mean_links
0,walking,1.653,0.847,3,3.000
1,walking,1.653,0.850,4,3.000
2,walking,1.653,0.882,4,3.050
3,walking,1.666,0.884,4,2.600
4,walking,1.712,1.027,4,2.600
5,walking,1.719,1.138,4,2.700
6,walking,1.719,1.157,4,2.500
7,walking,1.719,1.251,5,2.550
8,walking,1.719,1.125,4,2.500
9,walking,1.719,1.246,4,2.700
10,walking,1.719,1.276,4,2.900
11,walking,1.719,1.303,4,2.750
12,walking,1.784,1.351,5,2.950
13,walking,1.805,1.546,4,3.200
14,walking,1.805,1.683,4,3.300
15,walking,1.805,1.593,5,3.500
16,walking,1.805,1.628,5,3.700
17,walking,1.880,1.520,5,3.700
18,walking,1.880,1.640,5,3.750
19,walking,1.966,1.588,5,3.900
20,walking,1.966,1.515,5,3.850
21,walking,2.025,1.598,5,4.100
22,walking,2.025,1.555,5,3.900
23,walking,2.063,1.691,5,3.950
24,walking,2.063,1.509,5,4.000
25,walking,2.063,1.682,5,3.800
26,walking,2.148,1.587,5,3.500
27,walking,2.148,1.618,5,3.550
28,walking,2.279,1.563,5,3.750
29,walking,2.279,1.725,6,3.800
30,walking,2.279,1.748,6,4.200
31,walking,2.279,1.728,5,3.900
32,walking,2.279,1.855,5,4.300
33,walking,2.279,1.907,5,4.250
34,walking,2.279,1.880,5,4.250
35,walking,2.279,1.776,5,4.150
36,walking,2.316,1.913,5,4.450
37,walking,2.316,1.798,5,4.500
38,walking,2.316,1.825,6,4.650
39,walking,2.343,1.881,6,4.850
40,walking,2.343,1.973,6,4.950
41,walking,2.343,1.759,6,5.000
42,walking,2.343,1.836,6,4.900
43,walking,2.343,1.833,6,5.050
44,walking,2.343,1.729,6,4.950
45,walking,2.343,2.098,6,5.050
46,walking,2.343,2.003,6,4.900
47,walking,2.343,1.985,6,5.000
48,walking,2.352,2.050,6,4.900
49,walking,2.352,2.128,6,4.850
50,walking,2.352,2.097,6,5.050
51,walking,2.352,2.012,6,4.850
52,walking,2.352,2.021,6,4.850
53,walking,2.352,1.952,6,4.800
54,walking,2.352,1.830,6,4.700
55,walking,2.352,1.831,6,4.600
56,walking,2.352,1.733,5,4.400
57,walking,2.352,1.815,5,4.500
58,walking,2.352,1.813,6,4.700
59,walking,2.352,1.997,6,4.800
60,walking,2.352,1.976,6,4.800
61,walking,2.352,1.723,6,4.650
62,walking,2.352,1.930,7,5.000
63,walking,2.352,1.765,7,5.050
64,walking,2.352,1.717,6,4.950
65,walking,2.352,1.523,6,4.800
66,walking,2.360,1.915,5,4.850
67,walking,2.360,1.993,5,4.700
68,walking,2.360,2.088,5,4.800
69,walking,2.360,2.240,5,4.950
70,walking,2.360,1.918,6,4.850
71,walking,2.360,1.868,6,4.800
72,walking,2.360,1.719,6,4.950
73,walking,2.360,1.720,6,4.650
74,walking,2.487,1.816,6,4.800
75,walking,2.487,1.900,6,5.000
76,walking,2.487,1.723,6,5.100
77,walking,2.487,1.885,5,4.950
78,walking,2.487,1.886,5,4.900
79,walking,2.487,1.876,6,4.750
80,walking,2.487,1.813,5,4.600
81,walking,2.487,1.834,6,4.800
82,walking,2.487,1.871,6,4.700
83,walking,2.487,1.905,6,4.750
84,walking,2.487,1.921,6,4.750
85,walking,2.487,1.892,5,4.700
86,walking,2.487,1.836,6,4.900
87,walking,2.487,1.918,5,4.900
88,walking,2.487,1.946,6,4.950
89,walking,2.487,1.762,6,4.800
90,walking,2.487,1.849,6,4.850
91,walking,2.503,1.824,6,4.850
92,walking,2.503,1.840,6,4.950
93,walking,2.508,1.993,6,5.150
94,walking,2.508,1.868,6,5.100
95,walking,2.508,1.801,6,5.050
96,walking,2.508,1.732,6,5.000
97,walking,2.508,1.843,6,5.100
98,walking,2.508,1.738,6,4.950
99,walking,2.535,2.088,6,5.450
100,climbing,0.112,0.100,6,5.250
101,climbing,0.115,0.102,6,5.200
102,climbing,0.115,0.101,6,5.100
103,climbing,0.115,0.102,6,4.950
104,climbing,0.115,0.101,7,5.200
105,climbing,0.115,0.102,6,4.800
106,climbing,0.124,0.106,7,4.900
107,climbing,0.124,0.104,7,5.050
108,climbing,0.124,0.106,7,5.250
109,climbing,0.124,0.106,7,4.450
110,climbing,0.126,0.109,7,4.350
111,climbing,0.126,0.107,7,4.400
112,climbing,0.127,0.111,8,4.300
113,climbing,0.127,0.111,8,4.300
114,climbing,0.127,0.114,8,5.050
115,climbing,0.127,0.111,8,4.800
116,climbing,0.130,0.111,8,5.400
117,climbing,0.130,0.112,8,5.250
118,climbing,0.132,0.115,8,5.400
119,climbing,0.132,0.112,8,5.150
120,climbing,0.132,0.109,9,4.450
121,climbing,0.132,0.107,9,4.800
122,climbing,0.132,0.105,8,4.450
123,climbing,0.132,0.107,7,4.750
124,climbing,0.132,0.111,7,5.100
125,climbing,0.132,0.105,7,4.350
126,climbing,0.132,0.107,7,4.400
127,climbing,0.133,0.108,6,3.800
128,climbing,0.133,0.108,6,4.300
129,climbing,0.133,0.108,6,3.900
130,climbing,0.133,0.111,6,3.750
131,climbing,0.134,0.115,6,4.100
132,climbing,0.134,0.116,7,4.350
133,climbing,0.134,0.119,7,4.950
134,climbing,0.135,0.116,6,5.000
135,climbing,0.135,0.112,7,4.850
136,climbing,0.135,0.111,7,4.700
137,climbing,0.135,0.110,7,4.050
138,climbing,0.135,0.110,8,4.250
139,climbing,0.135,0.111,6,3.950
140,climbing,0.135,0.114,7,4.400
141,climbing,0.135,0.112,7,4.000
142,climbing,0.136,0.112,7,4.100
143,climbing,0.136,0.111,6,3.900
144,climbing,0.136,0.116,6,4.200
145,climbing,0.136,0.119,6,4.700
146,climbing,0.136,0.118,6,4.900
147,climbing,0.136,0.122,6,5.100
148,climbing,0.136,0.121,6,4.900
149,climbing,0.136,0.122,7,5.150
150,climbing,0.136,0.119,7,4.600
151,climbing,0.136,0.118,8,4.550
152,climbing,0.136,0.120,7,4.600
153,climbing,0.136,0.124,7,4.850
154,climbing,0.136,0.114,7,4.450
155,climbing,0.136,0.116,7,4.650
156,climbing,0.136,0.119,6,5.050
157,climbing,0.136,0.122,6,5.700
158,climbing,0.136,0.117,6,5.650
159,climbing,0.136,0.117,6,5.400
160,climbing,0.136,0.118,6,5.500
161,climbing,0.136,0.118,7,5.450
162,climbing,0.136,0.119,7,5.600
163,climbing,0.136,0.122,7,5.450
164,climbing,0.136,0.120,6,5.250
165,climbing,0.136,0.115,7,5.050
166,climbing,0.136,0.113,7,5.500
167,climbing,0.136,0.112,7,5.850
168,climbing,0.136,0.111,7,5.450
169,climbing,0.136,0.113,7,5.150
170,climbing,0.136,0.111,6,4.600
171,climbing,0.136,0.110,7,4.450
172,climbing,0.136,0.111,7,5.150
173,climbing,0.136,0.116,7,5.300
174,climbing,0.136,0.114,7,5.350
175,climbing,0.136,0.112,8,5.200
176,climbing,0.136,0.115,8,5.400
177,climbing,0.136,0.115,8,5.150
178,climbing,0.136,0.113,8,5.550
179,climbing,0.136,0.108,8,4.850
180,climbing,0.136,0.105,8,4.700
181,climbing,0.136,0.108,7,4.300
182,climbing,0.136,0.111,7,4.400
183,climbing,0.136,0.112,7,4.600
184,climbing,0.136,0.112,6,4.000
185,climbing,0.136,0.112,6,3.750
186,climbing,0.136,0.112,6,3.750
187,climbing,0.136,0.111,6,4.050
188,climbing,0.136,0.111,6,4.200
189,climbing,0.136,0.109,7,4.200
190,climbing,0.136,0.107,7,4.200
191,climbing,0.136,0.111,7,4.550
192,climbing,0.136,0.110,6,4.050
193,climbing,0.136,0.112,7,4.450
194,climbing,0.136,0.109,7,4.300
195,climbing,0.136,0.113,7,5.350
196,climbing,0.136,0.111,7,5.600
197,climbing,0.136,0.109,7,5.550
198,climbing,0.136,0.110,8,5.150
199,climbing,0.136,0.111,9,5.050
